time,infection
1956.224658,3287
1956.227397,3282
1956.230137,3277
1956.232877,3273
1956.235616,3270
1956.238356,3267
1956.241096,3264
1956.243836,3262
1956.246575,3242
1956.249315,3225
1956.252055,3210
1956.254795,3197
1956.257534,3185
1956.260274,3175
1956.263014,3166
1956.265753,3255
1956.268493,3333
1956.271233,3402
1956.273973,3461
1956.276712,3514
1956.279452,3560
1956.282192,3600
1956.284932,3582
1956.287671,3566
1956.290411,3553
1956.293151,3541
1956.29589,3530
1956.29863,3521
1956.30137,3513
1956.30411,3378
1956.306849,3260
1956.309589,3157
1956.312329,3067
1956.315068,2988
1956.317808,2918
1956.320548,2858
1956.323288,2792
1956.326027,2734
1956.328767,2683
1956.331507,2639
1956.334247,2600
1956.336986,2566
1956.339726,2536
1956.342466,2532
1956.345205,2529
1956.347945,2526
1956.350685,2523
1956.353425,2520
1956.356164,2518
1956.358904,2517
1956.361644,2647
1956.364384,2762
1956.367123,2862
1956.369863,2949
1956.372603,3026
1956.375342,3093
1956.378082,3152
1956.380822,3252
1956.383562,3339
1956.386301,3415
1956.389041,3482
1956.391781,3541
1956.394521,3592
1956.39726,3637
1956.4,3650
1956.40274,3661
1956.405479,3671
1956.408219,3679
1956.410959,3687
1956.413699,3693
1956.416438,3699
1956.419178,3792
1956.421918,3874
1956.424658,3945
1956.427397,4008
1956.430137,4062
1956.432877,4110
1956.435616,4152
1956.438356,4096
1956.441096,4047
1956.443836,4004
1956.446575,3967
1956.449315,3934
1956.452055,3905
1956.454795,3880
1956.457534,3884
1956.460274,3888
1956.463014,3892
1956.465753,3895
1956.468493,3897
1956.471233,3899
1956.473973,3901
1956.476712,3881
1956.479452,3863
1956.482192,3848
1956.484932,3834
1956.487671,3823
1956.490411,3812
1956.493151,3803
1956.49589,3870
1956.49863,3929
1956.50137,3980
1956.50411,4025
1956.506849,4064
1956.509589,4098
1956.512329,4128
1956.515068,4110
1956.517808,4095
1956.520548,4081
1956.523288,4069
1956.526027,4059
